,countyCode,County,State,county_state,total_coverage
321,12069,Lake,FL,"Lake County, FL","$60,098,900"
322,12071,Lee,FL,"Lee County, FL","$4,214,381,800"
323,12073,Leon,FL,"Leon County, FL","$139,492,000"
324,12075,Levy,FL,"Levy County, FL","$90,038,400"
325,12077,Liberty,FL,"Liberty County, FL","$1,130,400"
326,12079,Madison,FL,"Madison County, FL","$5,856,800"
327,12081,Manatee,FL,"Manatee County, FL","$756,701,500"
328,12083,Marion,FL,"Marion County, FL","$38,372,000"
329,12085,Martin,FL,"Martin County, FL","$734,343,700"
330,12086,Miami-Dade,FL,"Miami-Dade County, FL","$37,781,775,600"
331,12087,Monroe,FL,"Monroe County, FL","$6,333,548,400"
332,12089,Nassau,FL,"Nassau County, FL","$224,032,400"
333,12091,Okaloosa,FL,"Okaloosa County, FL","$4,533,378,200"
334,12093,Okeechobee,FL,"Okeechobee County, FL","$38,104,300"
335,12095,Orange,FL,"Orange County, FL","$252,292,900"
336,12097,Osceola,FL,"Osceola County, FL","$114,584,000"
337,12099,Palm Beach,FL,"Palm Beach County, FL","$5,654,603,000"
338,12101,Pasco,FL,"Pasco County, FL","$1,016,739,800"
339,12103,Pinellas,FL,"Pinellas County, FL","$4,005,100,400"
340,12105,Polk,FL,"Polk County, FL","$179,482,900"
341,12107,Putnam,FL,"Putnam County, FL","$87,601,400"
342,12109,St. Johns,FL,"St. Johns County, FL","$1,950,018,800"
343,12111,St. Lucie,FL,"St. Lucie County, FL","$1,650,124,600"
344,12113,Santa Rosa,FL,"Santa Rosa County, FL","$2,824,588,100"
345,12115,Sarasota,FL,"Sarasota County, FL","$952,067,500"
346,12117,Seminole,FL,"Seminole County, FL","$193,562,400"
347,12119,Sumter,FL,"Sumter County, FL","$12,027,900"
348,12121,Suwannee,FL,"Suwannee County, FL","$28,000,400"
349,12123,Taylor,FL,"Taylor County, FL","$62,356,700"
350,12125,Union,FL,"Union County, FL","$3,032,300"
351,12127,Volusia,FL,"Volusia County, FL","$2,406,650,700"
352,12129,Wakulla,FL,"Wakulla County, FL","$199,378,600"
353,12131,Walton,FL,"Walton County, FL","$1,629,300,900"
